date,close,high,low,open,volume
2008-01-16,8.237,8.332,7.376,7.376,307180.870
2008-01-17,8.502,8.983,7.835,7.868,193647.990
2008-01-18,8.092,8.409,7.955,8.196,78359.190
2008-01-21,7.977,8.466,7.617,8.018,69948.360
2008-01-22,7.179,7.868,7.179,7.805,47305.340
2008-01-23,7.245,7.376,6.551,6.953,63817.270
2008-01-24,6.947,7.218,6.699,7.218,49930.930
2008-01-25,6.947,7.158,6.751,6.797,37200.850
2008-01-28,6.253,6.822,6.253,6.822,34979.400
2008-01-29,5.997,6.322,5.691,6.013,32986.140
2008-01-30,6.120,6.365,6.002,6.043,28090.870
2008-01-31,5.967,6.196,5.874,6.070,15536.990
2008-02-01,5.371,5.961,5.371,5.901,32115.780
2008-02-04,5.909,5.909,5.456,5.505,26521.680
2008-02-05,6.270,6.445,5.737,5.923,29967.850
2008-02-13,6.065,6.281,5.956,6.174,14928.230
2008-02-14,6.201,6.338,6.070,6.147,13444.560
2008-02-15,6.013,6.144,5.956,6.106,13423.910
2008-02-18,6.147,6.278,6.035,6.133,17387.180
2008-02-20,6.762,6.762,6.420,6.529,54162.860
2008-02-21,6.639,6.830,6.447,6.775,47545.020
2008-02-22,6.393,6.770,6.253,6.718,23937.990
2008-02-25,5.887,6.475,5.868,6.390,21850.820
2008-02-26,5.983,6.147,5.682,6.035,15336.710
2008-02-27,6.087,6.147,5.909,5.999,10689.610
2008-02-28,5.991,6.147,5.964,6.147,12586.100
2008-02-29,6.106,6.147,5.876,5.975,15656.530
2008-03-03,6.303,6.382,5.942,6.065,22520.030
2008-03-04,6.240,6.502,6.133,6.305,21893.070
2008-03-05,6.130,6.221,5.956,6.122,15699.460
2008-03-06,6.062,6.188,5.915,6.120,17674.540
2008-03-07,5.983,6.139,5.928,5.980,9055.280
2008-03-10,5.559,5.928,5.518,5.928,13710.530
2008-03-11,5.565,5.565,5.322,5.464,12313.700
2008-03-12,5.401,5.710,5.327,5.671,8813.160
2008-03-13,5.084,5.355,5.032,5.355,14008.930
2008-03-14,5.103,5.150,4.937,5.081,8513.050
2008-03-17,4.639,5.070,4.620,5.070,9467.420
2008-03-18,4.453,4.751,4.221,4.565,15919.500
2008-03-19,4.565,4.685,4.385,4.538,13504.670
2008-03-20,4.683,4.726,4.235,4.502,17194.320
2008-03-21,4.666,4.778,4.551,4.644,17208.850
2008-03-24,4.590,4.849,4.562,4.740,15593.290
2008-03-25,4.590,4.683,4.344,4.453,11321.820
2008-03-26,5.049,5.049,4.603,4.603,40209.920
2008-03-27,4.740,4.917,4.644,4.836,24723.570
2008-03-28,4.726,4.781,4.297,4.644,17440.440
2008-03-31,4.532,4.617,4.374,4.617,12728.540
2008-04-01,4.079,4.549,4.079,4.453,12704.500
2008-04-02,3.715,4.180,3.691,4.101,14804.450
2008-04-03,3.852,3.931,3.601,3.721,10575.930
2008-04-07,4.098,4.161,3.724,3.776,14168.400
2008-04-08,4.136,4.316,4.016,4.071,14418.040
2008-04-09,3.841,4.136,3.792,4.098,13212.300
2008-04-10,3.934,3.956,3.715,3.819,9742.150
2008-04-11,4.024,4.120,3.907,3.931,9772.650
2008-04-14,3.715,3.989,3.694,3.901,10395.110
2008-04-15,3.866,3.893,3.639,3.721,7855.800
2008-04-16,3.715,4.024,3.633,3.756,63427.510
2008-04-17,3.415,3.664,3.355,3.601,46647.030
2008-04-18,3.205,3.437,3.183,3.437,26436.370
2008-04-22,3.134,3.161,2.951,3.161,24426.360
2008-04-23,3.349,3.415,3.005,3.084,31967.810
2008-04-24,3.685,3.685,3.552,3.680,60542.630
2008-04-25,3.737,3.918,3.584,3.647,49760.790
2008-04-28,3.642,3.715,3.565,3.614,25133.440
2008-04-29,3.677,3.737,3.579,3.579,18694.940
2008-04-30,3.847,3.893,3.702,3.702,32339.170
2008-05-05,3.994,4.016,3.849,3.874,33195.120
2008-05-06,3.863,3.989,3.817,3.989,31054.690
2008-05-07,3.639,3.885,3.636,3.819,26760.390
2008-05-08,3.724,3.724,3.527,3.606,22214.750
2008-05-09,3.688,3.803,3.603,3.770,23088.180
2008-05-12,3.724,3.792,3.565,3.683,19631.200
