date,open,close,high,low,volume,code
2017-03-24,9.94,11.92,11.92,9.94,42.0,300629
2017-03-27,13.11,13.11,13.11,13.11,33.0,300629
2017-03-28,14.42,14.42,14.42,14.42,6.0,300629
2017-03-29,15.86,15.86,15.86,15.86,10.0,300629
2017-03-30,17.45,17.45,17.45,17.45,21.0,300629
2017-03-31,19.2,19.2,19.2,19.2,40.0,300629
2017-04-05,21.12,21.12,21.12,21.12,58.0,300629
2017-04-06,23.23,23.23,23.23,23.23,36.0,300629
2017-04-07,25.55,25.55,25.55,25.55,48.0,300629
2017-04-10,28.11,28.11,28.11,28.11,80.0,300629
2017-04-11,30.92,30.92,30.92,30.92,249.0,300629
2017-04-12,34.01,34.01,34.01,34.01,317.0,300629
2017-04-13,37.41,37.41,37.41,37.41,505.0,300629
2017-04-14,41.15,41.15,41.15,41.15,896.0,300629
2017-04-17,45.27,45.27,45.27,44.0,74897.0,300629
2017-04-18,47.61,49.8,49.8,47.61,47555.0,300629
2017-04-19,54.78,54.78,54.78,54.78,4825.0,300629
2017-04-20,54.78,49.3,54.78,49.3,91371.0,300629
2017-04-21,47.23,50.7,54.23,46.99,98284.0,300629
2017-04-24,48.67,50.0,52.73,48.67,62316.0,300629
2017-04-25,50.8,55.0,55.0,50.55,25643.0,300629
2017-04-26,56.5,60.48,60.5,56.5,83623.0,300629
2017-04-27,58.6,62.55,65.59,57.53,83054.0,300629
2017-04-28,61.5,59.07,62.64,58.1,62496.0,300629
2017-05-02,57.75,62.0,62.0,57.5,62846.0,300629
2017-05-03,62.89,61.99,66.78,60.28,80286.0,300629
2017-05-04,58.85,57.22,61.0,55.79,70676.0,300629
2017-05-05,57.0,51.5,57.22,51.5,59756.0,300629
2017-05-08,50.8,52.01,52.79,50.01,43362.0,300629
2017-05-09,51.2,52.88,53.71,49.62,37488.0,300629
2017-05-10,52.2,48.4,53.58,48.4,44893.0,300629
2017-05-11,47.05,51.7,53.12,47.05,46980.0,300629
2017-05-12,51.0,52.51,52.95,49.22,51371.0,300629
2017-05-15,52.88,51.8,54.8,51.0,50544.0,300629
2017-05-16,50.2,53.32,53.5,49.0,45108.0,300629
2017-05-17,52.5,56.7,58.6,52.5,68601.0,300629
2017-05-18,54.8,53.81,56.38,53.5,45258.0,300629
2017-05-19,53.05,52.78,56.52,52.03,40337.0,300629
2017-05-22,52.41,47.85,53.3,47.61,38228.0,300629
2017-05-23,47.01,44.92,48.66,43.92,30308.0,300629
2017-05-24,44.5,45.88,46.45,44.1,19566.0,300629
2017-05-25,45.77,44.56,46.29,43.1,24499.0,300629
2017-05-26,44.55,45.01,46.21,44.3,23753.0,300629
2017-05-31,46.49,44.8,47.96,44.43,28429.0,300629
2017-06-01,43.74,40.32,44.38,40.32,28404.0,300629
2017-06-02,40.0,41.4,41.72,39.01,18004.0,300629
2017-06-05,42.08,41.97,43.45,41.69,20526.0,300629
2017-06-06,41.5,42.11,42.74,41.38,12423.0,300629
2017-06-07,42.08,44.47,44.75,42.01,22914.0,300629
2017-06-08,44.06,43.26,44.9,42.9,21524.0,300629
2017-06-09,42.8,43.36,43.97,42.19,14332.0,300629
2017-06-12,42.5,41.06,42.8,40.18,16910.0,300629
2017-06-13,40.8,42.31,42.98,40.8,14561.0,300629
2017-06-14,42.16,43.25,45.49,41.42,25469.0,300629
2017-06-15,43.0,44.9,45.38,42.64,26989.0,300629
2017-06-16,44.57,44.7,45.27,43.59,18551.0,300629
2017-06-19,44.8,45.01,45.21,43.8,15031.0,300629
2017-06-20,45.2,46.16,48.27,45.1,29638.0,300629
2017-06-21,50.78,49.82,50.78,48.66,59513.0,300629
2017-06-22,49.0,47.23,49.78,47.0,39539.0,300629
2017-06-23,47.72,51.95,51.95,47.24,60142.0,300629
2017-06-26,51.5,52.4,52.78,50.08,50443.0,300629
2017-06-27,51.88,50.67,52.38,50.46,34365.0,300629
2017-06-28,50.27,49.42,50.58,48.71,26206.0,300629
2017-06-29,49.57,51.2,51.79,49.0,29572.0,300629
2017-06-30,50.55,53.72,53.86,49.5,35897.0,300629
2017-07-03,52.86,52.62,53.66,52.38,27304.0,300629
2017-07-04,52.0,52.55,53.79,52.0,21482.0,300629
2017-07-05,52.55,53.82,54.35,51.61,30780.0,300629
2017-07-06,53.21,55.49,55.8,53.1,34809.0,300629
2017-07-07,54.88,56.5,58.4,54.79,34672.0,300629
2017-07-10,54.6,50.85,54.6,50.85,37183.0,300629
2017-07-11,49.5,48.39,49.5,46.71,29656.0,300629
2017-07-12,47.9,49.76,49.77,46.62,24417.0,300629
2017-07-13,49.25,48.14,49.43,47.6,16329.0,300629
2017-07-14,47.9,47.66,48.95,47.16,12720.0,300629
2017-07-17,47.0,42.89,47.0,42.89,20814.0,300629
2017-07-18,41.27,42.12,42.85,40.53,16429.0,300629
2017-07-19,42.3,42.82,43.15,42.0,12409.0,300629
2017-07-20,42.5,41.9,43.8,41.88,14275.0,300629
2017-07-21,41.7,39.94,42.28,39.8,15003.0,300629
2017-07-24,39.5,43.93,43.93,39.5,21788.0,300629
2017-07-25,45.55,46.51,48.0,44.98,40194.0,300629
2017-07-26,46.98,47.27,47.7,44.86,32570.0,300629
2017-07-27,47.29,49.17,50.68,45.51,40024.0,300629
2017-07-28,48.33,47.25,48.65,47.15,24936.0,300629
2017-07-31,47.25,46.13,47.42,45.25,23480.0,300629
2017-08-01,45.77,46.0,47.5,45.41,23161.0,300629
2017-08-02,45.4,43.11,45.4,43.0,26932.0,300629
2017-08-03,43.2,43.11,44.39,42.68,12708.0,300629
2017-08-04,42.85,44.98,47.1,42.8,30600.0,300629
2017-08-07,44.78,43.6,44.91,43.11,17493.0,300629
2017-08-08,42.7,43.36,43.75,42.3,15687.0,300629
2017-08-09,43.37,43.01,43.75,42.8,12564.0,300629
2017-08-10,42.51,41.61,43.34,41.55,13422.0,300629
2017-08-11,40.8,41.86,43.28,40.69,12763.0,300629
2017-08-14,41.2,42.5,42.68,41.2,10072.0,300629
2017-08-15,42.86,42.83,43.4,42.33,9786.0,300629
2017-08-16,42.5,43.4,43.7,42.37,16550.0,300629
2017-08-17,43.0,43.45,44.32,43.0,14362.0,300629
2017-08-18,42.41,42.1,42.88,41.86,12232.0,300629
2017-08-21,42.0,42.68,42.78,41.37,10698.0,300629
2017-08-22,42.27,42.94,43.28,42.27,9075.0,300629
2017-08-23,42.82,42.86,43.8,42.54,11882.0,300629
2017-08-24,43.5,47.15,47.15,43.18,55447.0,300629
2017-08-25,45.7,46.65,47.0,44.61,40826.0,300629
2017-08-28,46.22,46.88,47.99,45.89,35520.0,300629
2017-08-29,46.5,46.86,48.99,46.32,36180.0,300629
2017-08-30,45.87,45.77,46.27,45.01,19361.0,300629
2017-08-31,45.88,47.21,48.3,45.56,29788.0,300629
2017-09-01,46.83,48.8,50.17,46.83,37727.0,300629
2017-09-04,49.21,48.36,49.6,47.5,25576.0,300629
2017-09-05,48.01,47.77,48.1,46.9,18768.0,300629
2017-09-06,47.41,48.45,48.46,47.01,18736.0,300629
2017-09-07,48.25,46.86,49.48,46.86,27825.0,300629
