date,open,high,close,low,volume,amount
2017-09-06,7.57,7.6,7.6,7.53,41478.0,31401116.0
2017-09-05,7.63,7.64,7.59,7.55,38251.0,29067708.0
2017-09-04,7.65,7.68,7.63,7.59,5242654.0,40016781.0
2017-09-01,7.63,7.69,7.68,7.61,3846241.0,29426126.0
2017-08-31,7.61,7.7,7.66,7.59,5604484.0,42882412.0
2017-08-30,7.56,7.64,7.61,7.55,4377289.0,33286989.0
2017-08-29,7.64,7.68,7.57,7.55,5797802.0,44133810.0
2017-08-28,7.61,7.67,7.64,7.54,8652156.0,66056086.0
2017-08-25,7.51,7.64,7.64,7.51,5172077.0,39199874.0
2017-08-24,7.6,7.64,7.52,7.49,3906300.0,29541745.0
2017-08-23,7.7,7.72,7.6,7.59,6765931.0,51668721.0
2017-08-22,7.64,7.77,7.74,7.59,8421378.0,64944500.0
2017-08-21,7.7,7.7,7.66,7.58,6263291.0,47864754.0
2017-08-18,7.56,7.74,7.68,7.54,8330475.0,63901462.0
2017-08-17,7.53,7.62,7.59,7.51,4777066.0,36137769.0
2017-08-16,7.51,7.57,7.55,7.48,2795631.0,21055029.0
2017-08-15,7.51,7.59,7.53,7.49,4171519.0,31455330.0
2017-08-14,7.38,7.52,7.51,7.38,3078932.0,23017203.0
2017-08-11,7.49,7.49,7.38,7.37,4301765.0,31972148.0
2017-08-10,7.65,7.67,7.48,7.45,5919566.0,44715558.0
2017-08-09,7.72,7.74,7.65,7.61,3387730.0,25966858.0
2017-08-08,7.65,7.73,7.72,7.61,5799489.0,44579793.0
2017-08-07,7.59,7.67,7.65,7.56,3308631.0,25232789.0
2017-08-04,7.67,7.69,7.6,7.58,6591291.0,50316964.0
2017-08-03,7.7,7.73,7.68,7.61,4795231.0,36746788.0
2017-08-02,7.67,7.88,7.71,7.64,9888147.0,76850427.0
2017-08-01,7.75,7.79,7.68,7.65,7718675.0,59576463.0
2017-07-31,7.74,7.83,7.79,7.68,8918590.0,69246661.0
2017-07-28,7.62,7.86,7.79,7.57,12754298.0,98928886.0
2017-07-27,7.59,7.65,7.61,7.55,5046191.0,38363921.0
2017-07-26,7.59,7.63,7.6,7.51,3865465.0,29277070.0
2017-07-25,7.67,7.68,7.59,7.53,4542459.0,34431126.0
2017-07-24,7.58,7.74,7.66,7.52,6800695.0,52089928.0
2017-07-21,7.51,7.69,7.58,7.5,9094447.0,69005951.0
2017-07-20,7.31,7.64,7.53,7.28,12999896.0,97682561.0
