date,open,close,high,low,volume
2011-05-27,4.5120,5.3280,5.9270,4.1920,399033.0000
2011-05-30,4.7950,4.7950,4.7950,4.7950,6932.0000
2011-05-31,4.3150,4.3470,4.4420,4.3150,275568.0000
2011-06-01,4.3440,4.4610,4.6520,4.2200,242746.0000
2011-06-02,4.2360,4.1570,4.3340,4.0870,163672.0000
2011-06-03,4.0900,4.1630,4.2140,4.0650,106006.0000
2011-06-07,4.1090,4.1890,4.2770,4.0110,133177.0000
2011-06-08,4.1250,4.4260,4.5820,4.0620,186166.0000
2011-06-09,4.3310,4.2200,4.3690,4.2140,101198.0000
2011-06-10,4.1920,4.6420,4.6420,4.1630,154477.0000
2011-06-13,4.7370,4.8070,5.0200,4.4710,226983.0000
2011-06-14,4.6930,4.7440,4.7980,4.6640,104071.0000
2011-06-15,4.7370,4.8450,5.1980,4.7220,165641.0000
2011-06-16,4.8580,4.6040,4.9880,4.5030,109853.0000
2011-06-17,4.5570,4.4740,4.6640,4.3600,74992.0000
2011-06-20,4.3880,4.5980,4.6200,4.3500,62776.0000
2011-06-21,4.6330,4.8230,5.0420,4.6140,150464.0000
2011-06-22,4.8990,4.7630,4.9150,4.7030,83379.0000
2011-06-23,4.6360,4.8230,4.9750,4.6330,95832.0000
2011-06-24,4.7760,4.8140,4.9500,4.7370,131235.0000
2011-06-27,4.8170,5.0140,5.1500,4.7060,149081.0000
2011-06-28,4.9600,4.8770,4.9660,4.8010,110711.0000
2011-06-30,4.7910,4.8490,4.8550,4.7120,65870.0000
2011-07-01,4.8390,4.8490,5.0100,4.8100,88331.0000
2011-07-04,4.9340,4.9880,5.0420,4.8450,115291.0000
2011-07-05,4.9500,4.9060,4.9790,4.8230,93138.0000
2011-07-06,4.8800,5.0670,5.1790,4.8230,153251.0000
2011-07-07,5.0010,5.1440,5.2960,4.9820,156129.0000
2011-07-08,5.0930,5.2930,5.3530,5.0710,112915.0000
2011-07-11,5.2510,5.2420,5.3780,5.1790,78800.0000
2011-07-12,5.1880,4.9750,5.1940,4.9690,89007.0000
2011-07-13,4.9440,5.0770,5.1060,4.9440,52198.0000
2011-07-14,5.0770,5.3500,5.4580,4.9980,142376.0000
2011-07-15,5.2930,5.2610,5.3440,5.2040,73267.0000
2011-07-18,5.2450,5.3780,5.5150,5.2360,74722.0000
2011-07-19,5.3240,5.2990,5.3240,5.1530,51674.0000
2011-07-20,5.3150,5.2960,5.5050,5.2610,68945.0000
2011-07-21,5.2670,5.1020,5.2830,5.0770,59797.0000
2011-07-22,5.1280,5.0230,5.1720,4.9530,51333.0000
2011-07-25,4.9820,4.6770,5.0290,4.6010,53964.0000
2011-07-26,4.6680,4.7410,4.7530,4.6010,32591.0000
2011-07-27,4.7310,4.8070,4.8230,4.6490,32697.0000
2011-07-28,4.7440,4.7280,4.7440,4.6550,25262.0000
2011-07-29,4.7090,4.5280,4.7790,4.5220,35609.0000
2011-08-01,4.5190,4.6140,4.6640,4.4520,26644.0000
2011-08-02,4.5950,4.6230,4.6330,4.3820,30495.0000
2011-08-03,4.5380,4.7120,4.8170,4.5060,48516.0000
2011-08-04,4.7220,4.7530,4.7980,4.6520,34395.0000
2011-08-05,4.6010,4.5340,4.6550,4.5060,36759.0000
2011-08-08,4.4420,4.1630,4.4990,4.0900,38145.0000
2011-08-09,4.0010,4.0960,4.1570,3.8520,35455.0000
2011-08-10,4.1890,4.0930,4.2200,4.0680,33907.0000
2011-08-11,3.9190,4.1500,4.1730,3.9190,32015.0000
2011-08-12,4.1950,4.2170,4.2810,4.1760,32520.0000
2011-08-15,4.2200,4.3340,4.3540,4.2010,32927.0000
2011-08-16,4.3030,4.2330,4.3440,4.2200,31089.0000
2011-08-17,4.2140,4.2460,4.2710,4.1760,20516.0000
2011-08-18,4.3950,4.5060,4.5690,4.3540,95863.0000
2011-08-19,4.3820,4.6200,4.7180,4.3630,91612.0000
2011-08-22,4.6010,4.6960,4.7470,4.5090,66815.0000
2011-08-23,4.6680,4.6960,4.7090,4.5820,48641.0000
2011-08-24,4.6770,4.5340,4.7410,4.5120,43968.0000
2011-08-25,4.6740,4.6070,4.6740,4.4900,44910.0000
2011-08-26,4.5410,4.6900,4.7410,4.5060,59589.0000
2011-08-29,4.5950,4.4520,4.6420,4.4390,100437.0000
2011-08-30,4.4900,4.3540,4.5310,4.3190,58733.0000
2011-08-31,4.3570,4.3310,4.3790,4.2520,27897.0000
2011-09-01,4.3600,4.3730,4.4300,4.3190,37799.0000
2011-09-02,4.3730,4.2330,4.3950,4.1920,32145.0000
2011-09-05,4.1500,4.0390,4.1730,4.0240,28872.0000
2011-09-06,3.9700,4.0010,4.0680,3.9700,23996.0000
2011-09-07,4.0490,4.1280,4.1380,4.0330,29750.0000
2011-09-08,4.1280,4.0200,4.1690,4.0170,33218.0000
2011-09-09,4.0360,4.1030,4.1410,3.9980,35054.0000
2011-09-13,4.0300,4.0300,4.0550,3.9660,19999.0000
2011-09-14,4.0550,4.1090,4.1120,3.9190,26364.0000
2011-09-15,4.1060,4.0930,4.1570,4.0740,29289.0000
2011-09-16,4.1250,4.0390,4.1500,4.0330,25198.0000
2011-09-19,4.0140,3.8870,4.0140,3.8780,23938.0000
2011-09-20,3.8810,3.8970,3.9410,3.8430,26135.0000
2011-09-21,3.9000,4.0650,4.1000,3.8780,41916.0000
2011-09-22,4.0170,3.9030,4.0740,3.8970,29163.0000
2011-09-23,3.8080,3.8680,3.9090,3.7820,26520.0000
2011-09-26,3.8200,3.8840,3.9030,3.8200,18670.0000
2011-09-27,3.9120,3.9030,3.9310,3.8430,14800.0000
2011-09-28,3.9280,3.8200,3.9380,3.8080,16631.0000
2011-09-29,3.7660,3.5540,3.8010,3.5410,26719.0000
2011-09-30,3.6010,3.5600,3.6270,3.5290,13454.0000
2011-10-10,3.6010,3.5130,3.6240,3.4870,11031.0000
2011-10-11,3.6170,3.5350,3.6490,3.4780,17288.0000
2011-10-12,3.4900,3.6740,3.6970,3.4810,27607.0000
2011-10-13,3.6810,3.7190,3.7470,3.6490,27318.0000
2011-10-14,3.7060,3.6900,3.7220,3.6430,15483.0000
2011-10-17,3.6940,3.7540,3.7570,3.6740,26261.0000
2011-10-18,3.7280,3.5510,3.7280,3.5410,23669.0000
2011-10-19,3.5540,3.5860,3.6270,3.5320,15123.0000
2011-10-20,3.5540,3.4360,3.5600,3.4020,18556.0000
2011-10-21,3.4560,3.3540,3.4560,3.3250,14319.0000
2011-10-24,3.3600,3.4300,3.4460,3.2940,13551.0000
2011-10-25,3.4330,3.5510,3.5600,3.4330,29390.0000
2011-10-26,3.5290,3.5570,3.6010,3.5030,28714.0000
2011-10-27,3.5600,3.5440,3.6080,3.5160,19408.0000
2011-10-28,3.5890,3.6210,3.6400,3.5730,28483.0000
2011-10-31,3.6210,3.6430,3.6520,3.5920,23934.0000
2011-11-01,3.6110,3.6170,3.6650,3.5920,22787.0000
2011-11-02,3.5790,3.9790,3.9790,3.5600,134443.0000
2011-11-03,3.9760,4.0080,4.0840,3.9060,114272.0000
2011-11-04,4.0080,3.9790,4.0140,3.9220,47089.0000
2011-11-07,3.9600,4.0140,4.0620,3.9380,45802.0000
2011-11-08,4.0330,3.8520,4.0460,3.8460,40283.0000
2011-11-09,3.8710,3.9410,3.9440,3.8080,31759.0000
2011-11-10,3.8970,3.8110,3.9220,3.8080,29961.0000
2011-11-11,3.8390,3.8650,3.9280,3.8110,24749.0000
2011-11-15,3.9410,4.0010,4.0550,3.9190,78338.0000
2011-11-16,3.9820,3.8780,3.9820,3.8240,42460.0000
2011-11-17,3.9510,3.9850,4.0360,3.8870,57231.0000
2011-11-18,3.9920,3.8810,3.9920,3.8360,28639.0000
2011-11-21,3.9220,4.1280,4.1470,3.8650,100312.0000
2011-11-22,4.0460,4.0870,4.1160,3.9920,59778.0000
2011-11-23,4.0900,4.1570,4.2650,4.0330,88647.0000
