code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
688300,N联瑞,矿物制品,江苏,53.12,0.2,0.86,4.58,2.82,1.13,1.24,1.44,0.621,10.18,4.32,20191115,1.53,1.78,0.0,0.0,46.22,23.55,20390.0
688101,N三达膜,专用机械,陕西,29.77,0.77,3.34,27.04,10.66,0.43,1.3,0.39,0.685,9.27,2.93,20191115,11.99,3.59,0.0,0.0,41.15,43.55,67911.0
300796,N贝斯美,化工原料,浙江,36.17,0.3,1.21,7.67,3.84,2.36,3.17,2.62,0.425,8.14,2.52,20191115,1.71,1.41,0.0,0.0,30.28,13.77,60576.0
002502,鼎龙文化,影视音像,广东,0.0,6.97,8.6,17.65,12.36,0.69,16.37,1.9,-0.542,1.94,1.63,20101117,-8.55,-0.99,512.63,-1494.35,6.84,-58.86,38986.0
300341,麦克奥迪,电气设备,福建,28.69,5.1,5.1,15.95,10.87,2.86,0.0,0.0,0.20600000000000002,1.86,4.23,20120726,4.05,0.79,14.7,10.2,44.23,13.21,13949.0
000038,深大通,广告包装,深圳,2655.41,2.32,5.23,31.65,24.12,0.42,43.13,8.25,0.003,5.42,2.06,19940808,-20.39,-3.9,-29.78,-99.25,6.57,0.11,32536.0
002199,东晶电子,元器件,浙江,122.68,2.43,2.43,4.78,2.96,1.63,5.16,2.12,0.076,1.64,7.53,20071221,-3.78,-1.55,13.68,200.8,14.11,11.89,16778.0
300494,盛天网络,互联网,湖北,68.08,1.48,2.4,14.99,9.99,0.52,3.37,1.4,0.151,4.19,3.27,20151231,3.63,1.51,15.52,-30.71,27.31,8.52,22906.0
600592,龙溪股份,机械基件,福建,47.22,4.0,4.0,27.05,17.54,7.03,6.96,1.74,0.27,4.76,3.57,20020805,6.17,1.54,-14.63,28.37,27.06,15.47,15352.0
300277,海联讯,软件服务,深圳,215.37,3.34,3.35,7.79,7.39,0.07,0.83,0.25,0.032,1.4,6.52,20111123,0.33,0.1,49.41,830.98,25.27,6.13,13352.0
300797,钢研纳克,电器仪表,北京,60.39,0.62,2.48,7.18,5.42,1.11,0.97,0.39,0.209,2.82,5.96,20191101,1.59,0.64,0.0,0.0,44.16,13.74,118577.0
002967,广电计量,综合类,广东,61.08,0.83,3.31,23.78,10.58,8.75,2.55,0.77,0.212,4.32,3.99,20191108,3.26,0.98,0.0,0.0,45.8,7.03,152800.0
600455,博通股份,文教休闲,陕西,94.13,0.62,0.62,7.98,3.21,4.15,1.46,2.33,0.292,2.4,15.23,20040329,-0.65,-1.05,4.66,163.42,58.37,13.49,4677.0
300799,左江科技,软件服务,北京,235.64,0.17,0.68,3.14,2.51,0.56,0.33,0.48,0.34,8.2,13.01,20191029,1.42,2.09,0.0,0.0,77.83,24.5,33997.0
002952,亚世光电,元器件,辽宁,45.57,0.23,1.1,8.94,7.99,0.49,4.18,3.82,0.59,7.06,4.87,20190328,2.12,1.93,0.0,0.0,28.66,18.4,17487.0
603258,电魂网络,互联网,浙江,29.54,2.4,2.44,23.88,14.8,2.25,8.79,3.61,0.59,7.44,3.07,20161026,5.88,2.41,51.62,59.35,82.99,29.2,27880.0
300709,精研科技,元器件,江苏,53.33,0.57,0.89,20.2,12.44,6.49,8.76,9.87,1.16,15.53,5.28,20171019,3.66,4.13,76.17,450.4,38.98,9.94,8400.0
300615,欣天科技,元器件,深圳,209.25,0.54,1.9,5.39,4.02,1.09,1.58,0.83,0.076,2.5,8.45,20170215,1.1,0.58,-4.39,-23.18,28.66,8.59,19684.0
300311,任子行,软件服务,深圳,87.59,4.64,6.8,23.45,13.43,1.87,2.0,0.29,0.078,2.19,4.16,20120425,5.9,0.87,-24.83,-51.89,66.01,8.38,48030.0
300081,恒信东方,文教休闲,北京,33.27,3.16,5.29,31.81,17.43,0.42,15.44,2.92,0.203,5.02,1.8,20100520,5.85,1.11,-17.84,-47.8,44.0,27.0,29747.0
002552,宝鼎科技,机械基件,浙江,119.53,2.0,3.06,7.31,3.36,2.6,4.09,1.33,0.183,2.16,13.47,20110225,-0.79,-0.26,14.47,122.36,16.04,22.37,36075.0
002524,光正集团,医疗保健,新疆,38.84,4.84,5.16,18.84,5.75,3.19,4.29,0.83,0.24,1.81,6.67,20101217,0.01,0.0,38.83,1218.71,38.71,12.17,32879.0
300598,诚迈科技,软件服务,江苏,1050.08,0.48,0.8,6.19,4.67,1.12,1.75,2.19,0.071,5.81,17.16,20170120,1.88,2.35,22.52,-41.93,24.6,1.22,14369.0
300223,北京君正,半导体,北京,155.88,1.27,2.01,12.86,10.04,0.36,7.6,3.78,0.322,6.16,10.87,20110531,2.37,1.18,50.12,212.2,39.35,26.95,28878.0
300113,顺网科技,互联网,浙江,31.22,4.78,6.94,35.02,17.56,0.63,2.83,0.41,0.51,3.96,5.28,20100827,18.79,2.71,-20.54,-20.43,68.63,28.62,36585.0
300564,筑博设计,建筑工程,西藏,41.46,0.25,1.0,9.87,7.43,2.22,0.99,0.99,0.9520000000000001,9.94,5.29,20191108,2.66,2.66,0.0,0.0,35.07,14.35,51626.0
603701,德宏股份,汽车配件,浙江,40.53,2.01,2.04,8.77,5.07,1.9,1.97,0.96,0.22,3.38,3.52,20160412,2.57,1.26,-0.67,-55.84,30.31,13.35,23273.0
002201,九鼎新材,玻璃,江苏,1289.11,3.32,3.32,22.87,7.21,12.35,3.69,1.11,0.015,2.72,9.72,20071226,1.68,0.51,-7.83,-31.25,25.02,0.75,50722.0
300802,矩子科技,IT设备,上海,39.7,0.25,1.0,5.65,3.98,1.18,0.98,0.98,0.66,9.24,3.78,20191114,2.39,2.39,0.0,0.0,39.97,21.83,51826.0
002870,香山股份,电器仪表,广东,57.07,0.4,1.11,10.32,6.76,1.54,4.73,4.27,0.303,7.7,2.99,20170515,2.15,1.95,-10.64,40.33,28.9,5.48,14283.0
002492,恒基达鑫,仓储物流,广东,42.82,3.98,4.05,17.21,6.58,7.43,4.2,1.04,0.10400000000000001,3.13,1.9,20101102,3.97,0.98,3.42,-18.82,47.42,21.33,23969.0
300267,尔康制药,化学制药,湖南,62.39,14.15,20.63,61.86,29.75,21.91,9.56,0.46,0.081,2.8,2.4,20110927,25.64,1.24,26.06,-43.96,27.11,8.56,30513.0
600890,中房股份,区域地产,北京,0.0,5.79,5.79,2.55,1.4,0.06,0.2,0.04,-0.038,0.4,15.98,19960318,-4.54,-0.78,-17.19,34.41,-826.66,-5602.68,20611.0
300302,同有科技,软件服务,北京,1069.03,2.47,4.56,14.85,5.3,0.81,3.99,0.88,0.008,2.55,4.71,20120321,2.68,0.59,-24.23,-84.5,42.08,1.63,26442.0
002647,仁东控股,多元金融,浙江,139.98,5.6,5.6,29.94,14.59,0.05,1.91,0.34,0.08800000000000001,1.8,9.13,20111228,2.12,0.38,-7.25,65.67,25.59,5.33,5726.0
002836,新宏泽,广告包装,广东,60.26,0.56,1.6,7.52,2.72,2.44,0.35,0.22,0.166,2.4,5.57,20161229,1.51,0.94,71.14,6.27,32.65,9.14,15557.0
